PT08.S1(CO),T,RH,log_AH,hour,month,Datetime,CO
1011.0,10.1,60.5,-0.29235966200289193,4.0,3.0,2004-03-11 04:00:00,
831.0,6.1,65.9,-0.4703236804566608,4.0,3.0,2004-03-12 04:00:00,
1545.0,9.2,56.2,-0.4214420626313052,9.0,3.0,2004-03-12 09:00:00,
1147.0,7.0,71.1,-0.3343544806502116,4.0,3.0,2004-03-13 04:00:00,
1130.0,12.1,61.1,-0.15047411335483465,4.0,3.0,2004-03-14 04:00:00,
1078.0,12.3,65.4,-0.06710180354073592,4.0,3.0,2004-03-15 04:00:00,
941.0,12.3,66.2,-0.05657035148839435,4.0,3.0,2004-03-16 04:00:00,
883.0,12.7,57.9,-0.16877374424868608,4.0,3.0,2004-03-17 04:00:00,
954.0,11.6,61.9,-0.16936584563373874,4.0,3.0,2004-03-18 04:00:00,
934.0,12.3,67.7,-0.03407398033375144,4.0,3.0,2004-03-19 04:00:00,
945.0,13.8,54.6,-0.15385072481826026,4.0,3.0,2004-03-20 04:00:00,
1117.0,15.4,57.8,0.00209779808214612,4.0,3.0,2004-03-21 04:00:00,
854.0,16.1,55.9,0.015184135325040055,4.0,3.0,2004-03-22 04:00:00,
855.0,10.1,76.8,-0.053084371092455285,4.0,3.0,2004-03-23 04:00:00,
908.0,10.2,62.7,-0.24679607997943842,4.0,3.0,2004-03-24 04:00:00,
1112.0,11.3,63.9,-0.15618608318932875,15.0,3.0,2004-03-24 15:00:00,
983.0,7.4,64.8,-0.4030181044651126,4.0,3.0,2004-03-27 04:00:00,
897.0,12.2,37.2,-0.639227338570515,4.0,3.0,2004-03-30 04:00:00,
926.0,11.2,65.9,-0.13067832364211623,4.0,4.0,2004-04-02 04:00:00,
1418.0,19.7,43.3,-0.016434306463424773,10.0,4.0,2004-04-03 10:00:00,
1410.0,20.7,41.7,0.009157937784765724,11.0,4.0,2004-04-03 11:00:00,
1438.0,23.3,35.8,0.009752291442678302,12.0,4.0,2004-04-03 12:00:00,
1278.0,23.8,30.5,-0.11687095173141533,13.0,4.0,2004-04-03 13:00:00,
1257.0,24.8,27.0,-0.18332205712753813,14.0,4.0,2004-04-03 14:00:00,
1331.0,25.0,27.5,-0.153734099942042,15.0,4.0,2004-04-03 15:00:00,
1361.0,25.8,26.5,-0.14213976716112273,16.0,4.0,2004-04-03 16:00:00,
1398.0,25.1,27.1,-0.16298962849446264,17.0,4.0,2004-04-03 17:00:00,
1483.0,23.7,28.6,-0.1895878927859998,18.0,4.0,2004-04-03 18:00:00,
1697.0,22.1,36.8,-0.03241989125611126,19.0,4.0,2004-04-03 19:00:00,
1459.0,19.9,47.5,0.08727800810706056,20.0,4.0,2004-04-03 20:00:00,
1268.0,18.7,50.4,0.07436508195530674,21.0,4.0,2004-04-03 21:00:00,
1469.0,18.1,51.3,0.057041740367196996,22.0,4.0,2004-04-03 22:00:00,
1316.0,17.5,53.8,0.06278698809876479,23.0,4.0,2004-04-03 23:00:00,
1224.0,16.7,56.5,0.06147132208810096,0.0,4.0,2004-04-04 00:00:00,
1215.0,15.9,59.2,0.06156535565815473,1.0,4.0,2004-04-04 01:00:00,
1115.0,15.2,62.4,0.07008560756668776,2.0,4.0,2004-04-04 02:00:00,
1124.0,14.7,65.0,0.07380792714471986,3.0,4.0,2004-04-04 03:00:00,
1028.0,14.3,65.3,0.057702710128289154,4.0,4.0,2004-04-04 04:00:00,
1010.0,13.7,66.5,0.03854740961223883,5.0,4.0,2004-04-04 05:00:00,
1074.0,12.9,69.1,0.0260575343192896,6.0,4.0,2004-04-04 06:00:00,
1034.0,13.7,64.8,0.01340968690991774,7.0,4.0,2004-04-04 07:00:00,
1130.0,15.3,59.0,0.017938145131012998,8.0,4.0,2004-04-04 08:00:00,
1275.0,18.1,49.8,0.02683665395355957,9.0,4.0,2004-04-04 09:00:00,
1324.0,21.5,40.7,0.029655884907510675,10.0,4.0,2004-04-04 10:00:00,
1268.0,23.3,37.1,0.044686517622406094,11.0,4.0,2004-04-04 11:00:00,
1272.0,25.1,33.8,0.057702710128289154,12.0,4.0,2004-04-04 12:00:00,
1160.0,25.6,32.1,0.03854740961223883,13.0,4.0,2004-04-04 13:00:00,
1136.0,25.8,31.1,0.014198719399812928,14.0,4.0,2004-04-04 14:00:00,
1296.0,26.1,30.8,0.0249852526939086,15.0,4.0,2004-04-04 15:00:00,
1345.0,24.4,36.0,0.08157998699242285,16.0,4.0,2004-04-04 16:00:00,
1296.0,23.0,36.2,0.005286004429237438,17.0,4.0,2004-04-04 17:00:00,
1258.0,22.1,39.3,0.03304785404620042,18.0,4.0,2004-04-04 18:00:00,
1420.0,19.8,44.6,0.020586633608388312,19.0,4.0,2004-04-04 19:00:00,
1366.0,18.5,48.9,0.031789322489407336,20.0,4.0,2004-04-04 20:00:00,
1113.0,16.6,56.1,0.04697900119399464,21.0,4.0,2004-04-04 21:00:00,
1196.0,15.8,58.8,0.0453557017207972,22.0,4.0,2004-04-04 22:00:00,
1188.0,15.3,60.8,0.04888539772981066,23.0,4.0,2004-04-04 23:00:00,
1102.0,14.7,64.4,0.06924617273681441,0.0,4.0,2004-04-05 00:00:00,
969.0,14.8,63.3,0.05675833381860888,1.0,4.0,2004-04-05 01:00:00,
983.0,15.0,61.5,0.04094998632895417,2.0,4.0,2004-04-05 02:00:00,
876.0,15.5,56.9,-0.0039076248310170765,3.0,4.0,2004-04-05 03:00:00,
884.0,16.0,54.0,-0.02613865760969481,4.0,4.0,2004-04-05 04:00:00,
1024.0,13.5,63.9,-0.0192847614118671,5.0,4.0,2004-04-05 05:00:00,
1126.0,12.9,65.3,-0.03169708674325456,6.0,4.0,2004-04-05 06:00:00,
1415.0,13.4,62.5,-0.042698754533115245,7.0,4.0,2004-04-05 07:00:00,
1631.0,14.5,58.8,-0.03770186718401153,8.0,4.0,2004-04-05 08:00:00,
1499.0,15.3,56.7,-0.02296161163734704,9.0,4.0,2004-04-05 09:00:00,
823.0,8.3,75.6,-0.1860886433631986,4.0,4.0,2004-04-08 04:00:00,
