PT08.S1(CO),T,RH,log_AH,hour,month,CO
1360.0,13.6,48.9,-0.2773357803976365,18.0,3.0,2.6
1292.0,13.3,47.7,-0.3208942066578945,19.0,3.0,2.0
1402.0,11.9,54.0,-0.2874154413343501,20.0,3.0,2.2
1376.0,11.0,60.0,-0.2399082976469403,21.0,3.0,2.2
1272.0,11.2,59.6,-0.2372424756937114,22.0,3.0,1.6
1197.0,11.2,59.2,-0.2423263707309836,23.0,3.0,1.2
1185.0,11.3,56.8,-0.2740421867477461,0.0,3.0,1.2
1136.0,10.7,60.0,-0.2611050576013285,1.0,3.0,1.0
1094.0,10.7,59.7,-0.2681409172449455,2.0,3.0,0.9
1010.0,10.3,60.2,-0.2854179707987138,3.0,3.0,0.6
1066.0,11.0,56.2,-0.3057102749711721,5.0,3.0,0.7
1052.0,10.5,58.1,-0.3074766997799605,6.0,3.0,0.7
1144.0,10.2,59.6,-0.2988104302396246,7.0,3.0,1.1
1333.0,10.8,57.4,-0.3000245956501674,8.0,3.0,2.0
1351.0,10.5,60.6,-0.2625342789191289,9.0,3.0,2.2
1233.0,10.8,58.4,-0.2807726641508461,10.0,3.0,1.7
1179.0,10.5,57.9,-0.3076127079406598,11.0,3.0,1.5
1236.0,9.5,66.8,-0.2292873860746992,12.0,3.0,1.6
1286.0,8.3,76.4,-0.1751870678933551,13.0,3.0,1.9
1371.0,8.0,81.1,-0.1351326739914964,14.0,3.0,2.9
1310.0,8.3,79.8,-0.1303365017280034,15.0,3.0,2.2
1292.0,9.7,71.2,-0.1544340533070639,16.0,3.0,2.2
1383.0,9.8,67.6,-0.2002818821709474,17.0,3.0,2.9
1581.0,10.3,64.2,-0.2150513814168735,18.0,3.0,4.8
1776.0,9.7,69.3,-0.184043037692295,19.0,3.0,6.9
1640.0,9.6,67.8,-0.2066552338094074,20.0,3.0,6.1
1313.0,9.1,64.0,-0.2985408157866568,21.0,3.0,3.9
965.0,8.2,63.4,-0.3703393061327902,22.0,3.0,1.5
913.0,8.2,60.8,-0.4069161603754792,23.0,3.0,1.0
1080.0,8.3,58.5,-0.4403671601174292,0.0,3.0,1.7
1044.0,7.7,59.7,-0.4607664238932537,1.0,3.0,1.9
988.0,7.1,61.8,-0.4658522581232595,2.0,3.0,1.4
889.0,7.0,62.3,-0.4682451762308723,3.0,3.0,0.8
847.0,6.3,65.0,-0.4727273351673322,5.0,3.0,0.6
