PT08.S1(CO),T,RH,log_AH,hour,month,Datetime
1360.0,13.6,48.9,-0.27733578039763657,18.0,3.0,2004-03-10 18:00:00
1292.0,13.3,47.7,-0.3208942066578945,19.0,3.0,2004-03-10 19:00:00
1402.0,11.9,54.0,-0.2874154413343501,20.0,3.0,2004-03-10 20:00:00
1376.0,11.0,60.0,-0.2399082976469403,21.0,3.0,2004-03-10 21:00:00
1272.0,11.2,59.6,-0.23724247569371146,22.0,3.0,2004-03-10 22:00:00
1197.0,11.2,59.2,-0.24232637073098365,23.0,3.0,2004-03-10 23:00:00
1185.0,11.3,56.8,-0.2740421867477461,0.0,3.0,2004-03-11 00:00:00
1136.0,10.7,60.0,-0.2611050576013285,1.0,3.0,2004-03-11 01:00:00
1094.0,10.7,59.7,-0.2681409172449455,2.0,3.0,2004-03-11 02:00:00
1010.0,10.3,60.2,-0.2854179707987138,3.0,3.0,2004-03-11 03:00:00
1066.0,11.0,56.2,-0.3057102749711721,5.0,3.0,2004-03-11 05:00:00
1052.0,10.5,58.1,-0.3074766997799605,6.0,3.0,2004-03-11 06:00:00
1144.0,10.2,59.6,-0.2988104302396246,7.0,3.0,2004-03-11 07:00:00
1333.0,10.8,57.4,-0.3000245956501674,8.0,3.0,2004-03-11 08:00:00
1351.0,10.5,60.6,-0.2625342789191289,9.0,3.0,2004-03-11 09:00:00
1233.0,10.8,58.4,-0.2807726641508461,10.0,3.0,2004-03-11 10:00:00
1179.0,10.5,57.9,-0.3076127079406598,11.0,3.0,2004-03-11 11:00:00
1236.0,9.5,66.8,-0.22928738607469923,12.0,3.0,2004-03-11 12:00:00
1286.0,8.3,76.4,-0.17518706789335514,13.0,3.0,2004-03-11 13:00:00
1371.0,8.0,81.1,-0.1351326739914964,14.0,3.0,2004-03-11 14:00:00
1310.0,8.3,79.8,-0.1303365017280034,15.0,3.0,2004-03-11 15:00:00
1292.0,9.7,71.2,-0.15443405330706395,16.0,3.0,2004-03-11 16:00:00
1383.0,9.8,67.6,-0.20028188217094745,17.0,3.0,2004-03-11 17:00:00
1581.0,10.3,64.2,-0.2150513814168735,18.0,3.0,2004-03-11 18:00:00
1776.0,9.7,69.3,-0.18404303769229505,19.0,3.0,2004-03-11 19:00:00
1640.0,9.6,67.8,-0.20665523380940748,20.0,3.0,2004-03-11 20:00:00
1313.0,9.1,64.0,-0.2985408157866568,21.0,3.0,2004-03-11 21:00:00
965.0,8.2,63.4,-0.37033930613279026,22.0,3.0,2004-03-11 22:00:00
913.0,8.2,60.8,-0.4069161603754792,23.0,3.0,2004-03-11 23:00:00
1080.0,8.3,58.5,-0.4403671601174292,0.0,3.0,2004-03-12 00:00:00
1044.0,7.7,59.7,-0.4607664238932537,1.0,3.0,2004-03-12 01:00:00
988.0,7.1,61.8,-0.4658522581232595,2.0,3.0,2004-03-12 02:00:00
889.0,7.0,62.3,-0.4682451762308723,3.0,3.0,2004-03-12 03:00:00
847.0,6.3,65.0,-0.4727273351673322,5.0,3.0,2004-03-12 05:00:00
927.0,6.8,62.9,-0.4725669116489004,6.0,3.0,2004-03-12 06:00:00
1091.0,6.4,65.1,-0.45949899660064997,7.0,3.0,2004-03-12 07:00:00
1587.0,7.3,63.1,-0.4309367740818338,8.0,3.0,2004-03-12 08:00:00
